,secID,totalSize,remainSize,firstAccrDate,maturityDate,firstRedempDate,publishDate,listDate,delistDate
10,110031.XSHG,24.0,23.98463347,2015-06-12,2021-06-12,2019-08-09,2014-07-17,2015-06-30,2021-06-11
12,110038.XSHG,8.4316,6.30722195,2017-11-13,2022-11-13,2022-11-13,2017-05-10,2017-11-29,2022-11-12
13,110039.XSHG,16.0,0.0,2017-11-17,2023-11-17,2018-07-13,2016-10-25,2017-12-05,2018-07-13
14,110041.XSHG,18.7522,18.72844451,2017-12-22,2023-12-22,2023-12-22,2017-06-01,2018-01-09,2023-12-21
15,110043.XSHG,30.0,29.98936235,2018-01-30,2024-01-30,2024-01-30,2018-01-26,2018-03-14,2024-01-29
16,110048.XSHG,28.3,28.29921,2018-12-07,2024-12-07,2024-12-07,2018-12-05,2018-12-28,2024-12-06
17,110052.XSHG,16.0,15.265841,2019-03-05,2025-03-05,2025-03-05,2019-03-01,2019-03-29,2025-03-04
18,110055.XSHG,8.76,8.759085,2019-03-15,2025-03-15,2025-03-15,2019-03-13,2019-04-04,2025-03-14
19,110057.XSHG,16.1594,16.15842,2019-04-01,2025-04-01,2025-04-01,2019-03-28,2019-04-30,2025-03-31
20,110061.XSHG,40.0,39.99985,2019-11-11,2025-11-11,2025-11-11,2019-11-07,2019-12-02,2025-11-10
21,110062.XSHG,30.8835,30.8835,2019-12-02,2025-12-02,2025-12-02,2019-11-28,2019-12-25,2025-12-01
28,113008.XSHG,60.0,44.68152979,2015-02-02,2021-02-02,2021-02-02,2014-06-06,2015-02-16,2021-02-01
29,113012.XSHG,7.17,5.09537288,2017-03-24,2023-03-24,2023-03-24,2016-05-07,2017-04-13,2023-03-23
30,113013.XSHG,70.0,69.9964751,2017-07-07,2023-07-07,2023-07-07,2016-04-25,2017-07-24,2023-07-06
31,113021.XSHG,400.0,399.998171,2019-03-04,2025-03-04,2025-03-04,2019-02-28,2019-03-19,2025-03-03
32,113024.XSHG,29.9625,29.961391,2019-04-08,2025-04-08,2025-04-08,2019-04-03,2019-04-26,2025-04-07
33,113031.XSHG,12.0,12.0,2020-01-10,2025-01-10,2025-01-10,2020-01-08,2020-02-17,2025-01-09
34,113032.XSHG,23.0,23.0,2020-03-02,2026-03-02,2026-03-02,2020-02-27,2020-03-20,2026-03-01
37,113502.XSHG,1.85,1.84696959,2017-11-10,2023-11-10,2023-11-10,2017-03-16,2017-11-27,2023-11-09
38,113513.XSHG,5.0,0.0,2018-07-12,2024-07-12,2019-07-05,2018-07-10,2018-07-31,2019-07-05
39,113515.XSHG,8.4,5.362291,2018-07-26,2024-07-26,2020-06-18,2018-07-24,2018-08-27,2020-06-18
40,113517.XSHG,11.2,0.0004,2018-08-06,2024-08-06,2020-03-31,2018-08-02,2018-08-23,2020-03-31
41,113518.XSHG,10.9731,10.96985,2018-09-12,2024-09-12,2024-09-12,2018-09-10,2018-10-09,2024-09-11
42,113528.XSHG,6.34,6.3392029999999995,2019-03-01,2025-03-01,2025-03-01,2019-02-27,2019-03-20,2025-02-28
43,113529.XSHG,10.0,0.000229,2019-03-11,2025-03-11,2019-11-22,2019-03-07,2019-04-02,2019-11-22
44,113542.XSHG,6.3,6.299471,2019-08-01,2025-08-01,2025-08-01,2019-07-30,2019-08-23,2025-07-31
45,113545.XSHG,15.0,14.999820999999999,2019-10-14,2025-10-14,2025-10-14,2019-10-10,2019-11-07,2025-10-13
46,113546.XSHG,2.2993,2.2984400000000003,2019-10-23,2025-10-23,2025-10-23,2019-10-21,2019-11-21,2025-10-22
47,113549.XSHG,8.8,8.79987,2019-11-15,2025-11-15,2025-11-15,2019-11-13,2019-12-11,2025-11-14
48,113550.XSHG,9.92424,9.923651,2019-11-18,2025-11-18,2025-11-18,2019-11-14,2019-12-12,2025-11-17
49,113551.XSHG,11.0,10.974092,2019-11-18,2025-11-18,2025-11-18,2019-11-14,2019-12-11,2025-11-17
50,113555.XSHG,4.4,4.4,2019-12-19,2025-12-19,2025-12-19,2019-12-17,2020-01-14,2025-12-18
51,113561.XSHG,2.9,2.9,2019-12-31,2025-12-31,2025-12-31,2019-12-27,2020-02-10,2025-12-30
52,113566.XSHG,2.0,2.0,2020-02-28,2026-02-28,2026-02-28,2020-02-26,2020-03-31,2026-02-27
