secID,tickerBond,tickerEqu,tradeDate,totalSize,remainSize,closePriceBond,convPrice,closePriceEqu,exerPar,chgPct,chgPct7,bondPremRatio,debtPuredebtRatio,puredebtPremRatio,evaluatePrice,premRatio,optionPrice,duration,volatiliry,strikePrice,accrualEndDate
113505.XSHG,113505,603618,2021-06-04,7.8,7.498375,103.99,7.08,6.38,8.294,0.002507,0.003668,15.3995,100.002095,3.987821,,,,-0.2493150684931507,,7.08,2021-03-05
110033.XSHG,110033,600755,2021-06-04,28.0,12.116051,112.49,7.18,7.69,9.997,8.9e-05,0.021893,5.0296,106.342154,5.781193,,,,-0.4136986301369863,,7.18,2021-01-04
127003.XSHE,127003,000861,2021-06-04,11.11,6.738179,106.46,3.0,2.19,2.847,-0.000188,-0.000582,45.8356,108.107173,-1.523648,,,,0.00821917808219178,,3.0,2021-06-07
128064.XSHE,128064,002538,2021-06-04,8.0,7.99762,114.199,5.82,6.25,8.125,0.007268,0.014282,6.3421,97.401575,17.245538,,,,-0.1589041095890411,,5.82,2021-04-07
113530.XSHG,113530,603081,2021-06-04,6.3,6.297765,102.98,16.64,11.44,14.872,-0.000679,-0.006752,49.789,103.26329,-0.274338,,,,-0.1917808219178082,,16.64,2021-03-26
113030.XSHG,113030,601515,2021-06-04,2.95328,2.95234,115.54,6.45,6.87,8.931,0.006095,0.043345,8.4764,96.073346,20.262284,,,,-0.4465753424657534,,6.45,2020-12-23
110051.XSHG,110051,600522,2021-06-04,39.6512,39.642303,121.17,9.99,10.42,13.546,0.001405,0.00975,16.1697,98.968908,22.432391,,,,-0.26575342465753427,,9.99,2021-02-27
113021.XSHG,113021,601998,2021-06-04,400.0,399.996882,105.93,6.98,5.24,6.812,-0.000283,-0.00132,41.1052,104.090329,1.76738,,,,-0.2547945205479452,,6.98,2021-03-03
128107.XSHE,128107,002061,2021-06-04,25.0,24.996917,110.405,5.36,5.34,6.942,0.00136,-0.004463,10.8185,95.575144,15.516436,,,,-0.12054794520547946,,5.36,2021-04-21
127017.XSHE,127017,000789,2021-06-04,10.0,9.996436,116.0,13.46,12.5,16.25,-0.010492,-0.015414,24.9088,97.707851,18.721269,,,,-0.005479452054794521,,13.46,2021-06-02
123024.XSHE,123024,300700,2021-06-04,2.1,2.09693,106.863,14.1,12.48,16.224,0.000581,0.003408,20.7346,89.919258,18.843285,,,,-0.20821917808219179,,14.1,2021-03-20
113588.XSHG,113588,603108,2021-06-04,5.5,5.499573,108.01,13.36,11.11,14.443,0.008968,0.016948,29.8842,91.966077,17.445479,,,,0.03287671232876712,,13.36,2021-06-16
