代码,名称,最新,涨跌幅,成交量(手),成交金额,换手率,正股名称,正股价格,正股涨跌幅,转股价格,转股价值,转股溢价率,纯债价值,纯债YTM,平价底价溢价率,权证价格,有条件赎回价,到期赎回价,有条件回售价,剩余期限,到期日期,债券余额(亿元),主体评级,债券评级,类型,双低
110033.SH,国贸转债,117.43,-0.0021,57422000,66967233,0.049102197336585,厦门国贸,8.26,-0.0271,7.18,115.0418,0.0208,106.4124,-15.1406,0.0812,11.025,INF,108,INF,0.526,20220105,1169438500,AAA,AAA,平衡型,119.51
110034.SH,九州转债,108.87,-0.001,11241000,12234851,0.00749815397730343,九州通,15,-0.0053,17.83,84.1279,0.2941,106.2882,-1.4298,-0.2084,2.599,INF,108,103,0.5534,20220115,1499169000,AA+,AA+,偏债型,138.28
110038.SH,济川转债,105.83,0.0004,1074000,1136724,0.00170276723457283,济川药业,17.47,0.0034,23.4,74.6581,0.4175,102.5865,1.1475,-0.2722,3.247,INF,106,INF,1.3808,20221113,630738000,AA,AA,偏债型,147.58
110041.SH,蒙电转债,105.98,-0.0024,43219000,45811930,0.0230760153921972,内蒙华电,2.33,-0.0169,2.56,91.0156,0.1644,100.7808,1.2676,-0.0967,5.217,INF,106,INF,2.4877,20231222,1872897000,AAA,AAA,平衡型,122.42
110043.SH,无锡转债,115.05,0.0087,114149000,131163159,0.039073697095582,无锡银行,5.88,0.0191,5.79,101.5544,0.1329,99.1302,-2.3251,0.025,15.976,INF,106,INF,2.5945,20240130,2921377000,AA+,AA+,平衡型,128.34
110044.SH,广电转债,247.35,0.0006,44378000,110322743,0.626029793477034,广电网络,6.05,0.0254,6.9,87.6812,1.821,100.0877,-23.4704,-0.1231,147.356,INF,108,INF,3,20240627,70888000,AA,AA,平衡型,429.45
110045.SH,海澜转债,111.18,0.0056,29665000,33000828,0.0100570640492422,海澜之家,7.07,0.0232,7.04,100.4261,0.1071,99.8041,-0.024,0.0072,11.467,INF,108,100.13,3.0438,20240713,2949668000,AA+,AA+,平衡型,121.89
110047.SH,山鹰转债,117.68,0.0041,17183000,20233624,0.00764972683044968,山鹰国际,3.52,0.0057,3.34,105.3892,0.1166,104.0662,-0.0458,0.0133,13.671,INF,113,100.17,3.4027,20241121,2246224000,AA+,AA+,平衡型,129.34
110048.SH,福能转债,138.5,0.0078,31669000,43507580,0.0162428959448871,福能股份,11.15,0.0054,8.12,137.3153,0.0086,100.1386,-5.7566,0.372,38.414,INF,109,INF,3.4466,20241207,1949713900,AA+,AA+,偏股型,139.36
110051.SH,中天转债,115.54,0.0035,27007000,31156755,0.00681267575931556,中天科技,10.02,-0.005,9.99,100.3003,0.1519,99.2431,-0.5407,0.0114,16.368,INF,109,INF,3.674,20250228,3964228000,AA+,AA+,平衡型,130.73
110052.SH,贵广转债,102.32,0.0204,137550000,140406198,0.0901043717160707,贵广网络,5.5,0.1,7.94,69.2695,0.4771,103.0565,3.9454,-0.3274,-0.663,INF,113,INF,3.6877,20250305,1526563000,AA+,AA+,偏债型,150.03
110053.SH,苏银转债,123.85,0.0002,73086000,90544927,0.00365442096133382,江苏银行,7.24,0.0042,6.37,113.6578,0.0897,104.2926,-1.2611,0.0915,19.719,INF,111,INF,3.7123,20250314,19999338000,AAA,AAA,平衡型,132.82
110055.SH,伊力转债,196.35,0.0095,1057618000,2083994657,4.33628249645244,伊力特,32,0.0156,16.81,190.3629,0.0315,98.1515,-13.7365,0.9415,98.3,INF,110,INF,3.7151,20250315,243899700,AA,AA,偏股型,199.5
110056.SH,亨通转债,104.54,-0.0007,8080000,8460119,0.0047240383980131,亨通光电,11.59,-0.0094,15.01,77.2152,0.3539,99.9258,2.4677,-0.2267,4.686,INF,110,INF,3.726,20250319,1710401000,AA+,AA+,偏债型,139.93
110057.SH,现代转债,112.66,0.0101,8631000,9687765,0.0053419834968546,国药现代,9.89,0.0071,9.79,101.0215,0.1152,96.9017,-0.571,0.0442,15.912,INF,106,INF,3.7616,20250401,1615692000,AAA,AAA,平衡型,124.18
110058.SH,永鼎转债,104.91,-0.0012,13363000,14029947,0.0511578761997006,永鼎股份,3.88,0.0026,5.04,76.9841,0.3627,90.2881,2.3196,-0.1463,14.728,INF,110,INF,3.8027,20250416,261211000,AA-,AA-,平衡型,141.18
110059.SH,浦发转债,102.83,-0.0008,249646000,256802893,0.00499303104501044,浦发银行,10.08,0.006,14.45,69.7578,0.4741,101.1024,3.24,-0.3092,1.843,INF,110,INF,4.337,20251028,49998888000,AAA,AAA,偏债型,150.24
110060.SH,天路转债,109.95,-0.0005,4296000,4718085,0.00608153159466082,西藏天路,6.86,0.0015,7.16,95.8101,0.1476,95.5052,1.0409,0.0035,14.473,INF,110,INF,4.337,20251028,706401000,AA,AA,平衡型,124.71
110061.SH,川投转债,128.82,0.0034,845000,1088792,0.000213252058305081,川投能源,11.95,0.0034,9.58,124.739,0.0327,94.8808,-3.4468,0.316,34.032,INF,106,INF,4.3753,20251111,3962447100,AAA,AAA,偏股型,132.09
110062.SH,烽火转债,107.02,0.0034,8983000,9576917,0.00290931820647642,烽火通信,18.61,0.0005,22.93,81.1601,0.3186,94.6842,0.8013,-0.142,12.429,INF,106,INF,4.4329,20251202,3087665000,AAA,AAA,平衡型,138.88
110063.SH,鹰19转债,119.08,-0.0035,8251000,9820204,0.00447164561544606,山鹰国际,3.52,0.0057,3.3,106.6667,0.1164,98.0721,-0.6153,0.088,21.039,INF,111,100.17,4.463,20241121,1845182000,AA+,AA+,平衡型,130.72
110064.SH,建工转债,99.47,0.0047,14776000,14695997,0.00890211648180838,重庆建工,3.54,-0.0084,4.57,77.4617,0.2841,101.395,4.34,-0.2358,-1.892,INF,113,INF,4.4822,20251220,1659830000,AA+,AA+,偏债型,127.88
110065.SH,淮矿转债,155.69,0.0971,978151000,1512850919,3.0107533170117,淮北矿业,13.56,0.0998,8.68,156.2212,-0.0034,94.4267,-7.4146,0.656,61.356,INF,106,INF,4.4904,20251223,324885800,AAA,AAA,偏股型,155.35
110066.SH,盛屯转债,157.38,0.0414,453362000,719867302,0.868663841260699,盛屯矿业,7.35,0.047,4.88,150.6148,0.0449,93.8081,-6.606,0.6058,63.587,INF,110,INF,4.6795,20260302,521907300,AA,AA,偏股型,161.87
