代码,名称,最新,涨跌幅,成交量(手),成交金额,换手率,正股名称,正股价格,正股涨跌幅,转股价格,转股价值,转股溢价率,纯债价值,纯债YTM,平价底价溢价率,权证价格,有条件赎回价,到期赎回价,有条件回售价,剩余期限,到期日期,债券余额(亿元),主体评级,债券评级,类型,双低,pure_debt_prem,debt_rank,equity_rank,rank,自定义rank,,
128013.SZ,洪涛转债,110.161,0.0148,94909600,104460828,0.082027097,洪涛股份,2.56,0.0323,2.32,110.3448,-0.0017,103.5102,-0.3044,0.0663,6.679,inf,108,inf,1.0877,20220729,1157051800,AA-,AA-,平衡型,109.991,0.064252605,60,15,75,60,1,纯债溢价权重
110033.SH,国贸转债,117.43,-0.0021,57422000,66967233,0.049102197,厦门国贸,8.26,-0.0271,7.18,115.0418,0.0208,106.4124,-15.1406,0.0812,11.025,inf,108,inf,0.526,20220105,1169438500,AAA,AAA,平衡型,119.51,0.103536806,85,59,144,85,0,纯股溢价权重
127018.SZ,本钢转债,100.05,0.0055,134476500,134463927,0.019918682,本钢板材,4.56,0.0459,5.03,90.6561,0.1036,107.7153,5.3216,-0.1569,-7.483,inf,119,inf,5.0055,20260629,6751274900,AA+,AAA,平衡型,110.41,-0.071162593,14,137,151,14,,
132014.SH,18中化EB,114.95,0.0081,41039000,47126540,0.011725431,中国化学,8.15,0.0037,7.13,110.8844,0.0381,101.8241,-3.5349,0.0894,13.319,inf,inf,inf,1.8247,0,3499999200,AAA,AAA,平衡型,118.76,0.128907597,100,81,181,100,,
132017.SH,19新钢EB,108.51,0.0036,10059000,10964938,0.00608715,新钢股份,5.84,0.0466,6,97.3333,0.1158,105.4338,-0.684,-0.0765,3.211,inf,inf,inf,0.8082,0,1652497400,AA+,AA+,平衡型,120.09,0.029176602,39,152,191,39,,
127027.SZ,靖远转债,103.73,0.0196,120955900,125101081,0.043205473,靖远煤电,3.13,0.0195,3.23,96.904,0.0704,93.2111,1.9957,0.04,10.552,inf,110,inf,5.4548,20261210,2799550400,AA+,AA+,平衡型,110.77,0.112850294,92,105,197,92,,
132020.SH,19蓝星EB,116,-0.0009,2698000,3129680,0.000692959,安迪苏,12.36,-0.0144,11.12,111.1511,0.0498,101.8959,-0.7116,0.0925,14.951,inf,inf,inf,3.3096,0,3893451000,AAA,AAA,平衡型,120.98,0.138416757,110,91,201,110,,
113505.SH,杭电转债,106.2,0.0008,13688000,14551900,0.018254683,杭电股份,6.65,-0.0015,7.08,93.9266,0.1307,100.5307,1.7843,-0.0654,5.705,inf,108,inf,2.6904,20240306,749835000,AA,AA,平衡型,119.27,0.056393719,56,159,215,56,,
128081.SZ,海亮转债,111,0.0091,25181400,27949798,0.008376414,海亮股份,10.37,-0.0019,9.69,107.0175,0.0372,95.118,0.8028,0.1252,15.888,inf,110,inf,4.4027,20251121,3006226600,AA,AA,平衡型,114.72,0.166971551,135,80,215,135,,
132018.SH,G三峡EB1,120.15,0.0032,76472000,91537602,0.004303796,长江电力,20.64,0.0118,17.44,118.3486,0.0161,99.7452,-3.3195,0.1876,20.605,inf,inf,inf,2.7836,0,17768499600,AAA,AAA,平衡型,121.76,0.204569242,161,55.5,216.5,161,,
113033.SH,利群转债,101.26,-0.0032,20637000,20886277,0.011465752,利群股份,6.3,-0.0263,7.01,89.8716,0.1267,93.4383,2.7398,-0.0379,7.846,inf,110,inf,4.7616,20260401,1799882000,AA,AA,平衡型,113.93,0.083709785,73,158,231,73,,
