secID,tickerBond,secShortNameBond,tickerEqu,secShortNameEqu,tradeDate,totalSize,remainSize,closePriceBond,convPrice,closePriceEqu,exerPar,chgPct,chgPct7,bondPremRatio,debtPuredebtRatio,puredebtPremRatio,evaluatePrice,premRatio,optionPrice,duration,volatiliry,strikePrice,accrualEndDate
123023.XSHE,123023,迪森转债,300335,迪森股份,2020-01-03,6.0,5.99991,102.3,7.19,5.9,7.67,0.006058,0.005989,24.6672,94.092893,8.722344999999999,96.2853042343224,1.0624674327355303,2.1924112343223863,4.210958904109589,0.3544998539350898,7.19,2024-03-19
128034.XSHE,128034,江银转债,002807,江阴银行,2020-01-03,20.0,17.583114000000002,114.97,4.68,4.66,6.058,-0.0019879999999999997,0.028768000000000002,15.4634,94.73621,21.358032,96.2221449546554,1.1948392966523402,1.4859349546554,3.063013698630137,0.25255538711340136,4.68,2023-01-25
123032.XSHE,123032,万里转债,300591,万里马,2020-01-03,1.8029,1.8029,102.41799999999999,6.92,5.84,,-9.8e-05,0.012656,21.3583,91.223865,12.271059,93.67720837426998,1.093307558769341,2.453343374269977,4.772602739726027,0.3778168436689926,6.92,2024-10-10
113009.XSHG,113009,广汽转债,601238,广汽集团,2020-01-03,41.0558,25.52241039,117.0,14.41,12.25,15.925,0.000342,0.003861,37.6302,102.44343,14.209373999999999,103.76197389916787,1.1275807080703415,1.318543899167858,1.0520547945205478,0.3202852494261951,14.41,2021-01-21
128044.XSHE,128044,岭南转债,002717,岭南股份,2020-01-03,6.6,6.593202000000001,106.53,5.92,5.2,6.76,0.027587999999999998,0.044412,21.2803,92.841337,14.744147,94.71322431449504,1.1247637356982736,1.8718873144950359,3.610958904109589,0.3418166891771085,5.92,2023-08-13
113024.XSHG,113024,核建转债,601611,中国核建,2020-01-03,29.9625,29.961521,107.57,9.87,7.21,9.373,0.0024230000000000002,0.02214,47.256,91.574875,17.466717000000003,94.11156496736615,1.1430051135298902,2.5366899673661476,4.263013698630137,0.3260410453301854,9.87,2024-04-07
110033.XSHG,110033,国贸转债,600755,厦门国贸,2020-01-03,28.0,12.117519999999999,117.89,7.42,7.41,9.633,0.009332,0.02638,18.049,104.659145,12.641853,105.80893672989546,1.1141780991613643,1.149791729895468,1.0054794520547945,0.2848679382450752,7.42,2021-01-04
110045.XSHG,110045,海澜转债,600398,海澜之家,2020-01-03,30.0,29.49769006,104.07,12.02,8.04,10.452,0.013340000000000001,0.033466,55.5872,94.6804,9.917152999999999,95.85253152294162,1.0857303228876285,1.172131522941608,3.5232876712328767,0.24019424214580998,12.02,2023-07-12
127006.XSHE,127006,敖东转债,000623,吉林敖东,2020-01-03,24.13,24.075242000000003,111.615,20.62,17.11,22.243000000000002,-0.000134,0.027933,34.512,93.055053,19.945125,97.50974274664142,1.1446548504389773,4.454689746641417,3.1890410958904107,0.27920574413861904,20.62,2023-03-12
113016.XSHG,113016,小康转债,601127,小康股份,2020-01-03,15.0,8.81305507,99.92,17.12,11.5,14.95,-0.001599,0.010211,48.7504,94.695302,5.517378,96.17512165338516,1.0389381191542588,1.4798196533851575,2.841095890410959,0.2693205320060095,17.12,2022-11-05
110051.XSHG,110051,中天转债,600522,中天科技,2020-01-03,39.6512,39.6502,110.83,10.19,8.45,10.985,0.0006320000000000001,0.026204,33.6517,95.022302,16.635776,97.8174535382364,1.1330288817698269,2.795151538236417,4.153424657534247,0.31076862962660823,10.19,2024-02-27
123029.XSHE,123029,英科转债,300677,英科医疗,2020-01-03,4.7,4.7,120.31,16.25,17.86,,0.012037,0.033893,9.4645,112.55656,6.888483,121.29997246923962,0.9918386422594558,8.743412469239619,4.619178082191781,0.34922327894915595,16.25,2024-08-15
128066.XSHE,128066,亚泰转债,002811,郑中设计,2020-01-03,4.8,4.799532,114.2,14.8,15.93,20.709,-0.0038380000000000003,0.0134,6.0991,96.23854,18.66348,105.06689289890944,1.0869265936119195,8.828352898909438,4.287671232876712,0.40014152641284306,14.8,2024-04-16
113014.XSHG,113014,林洋转债,601222,林洋能源,2020-01-03,30.0,29.998820000000002,102.56,8.59,4.91,6.382999999999999,0.0017579999999999998,0.024575,79.4277,94.80008000000001,8.185563,95.41201090952775,1.0749170782832589,0.6119309095277465,2.813698630136986,0.33900036395260696,8.59,2022-10-26
113541.XSHG,113541,荣晟转债,603165,荣晟环保,2020-01-03,3.3,3.3,106.6,18.72,17.55,,0.0,0.020096,13.7066,90.909042,17.260063,98.20862255088834,1.085444406317414,7.299580550888338,4.553424657534246,0.3693800934538839,18.72,2024-07-22
128049.XSHE,128049,华源转债,002787,华源控股,2020-01-03,4.0,3.9990989999999997,107.79,7.52,7.27,9.451,0.004567,0.021125,11.4966,94.925669,13.552004,98.06662183806826,1.0991507403812422,3.140952838068265,3.8986301369863012,0.39185835420467946,7.52,2023-11-26
123007.XSHE,123007,道氏转债,300409,道氏技术,2020-01-03,4.8,3.041833,115.54,15.05,13.78,17.914,0.022026,0.045611,26.1884,95.1524,21.42626,100.71039307613782,1.1472500153251401,5.557993076137813,2.9835616438356163,0.49721393886334286,15.05,2022-12-27
