secID,tickerBond,tickerEqu,tradeDate,totalSize,remainSize,closePriceBond,convPrice,closePriceEqu,exerPar,chgPct,chgPct7,bondPremRatio,debtPuredebtRatio,puredebtPremRatio,evaluatePrice,premRatio,optionPrice,duration,volatiliry,strikePrice,accrualEndDate
127004.XSHE,127004,000700,2018-01-05,8.1366,8.136599,95.68799999999999,8.0,5.81,7.553,0.012903999999999999,0.026057,31.7562,87.44091,9.431614999999999,89.03644441326469,1.074705988436173,1.5955344132646858,4.405479452054794,0.2790301509873082,8.0,2022-06-01
113016.XSHG,113016,601127,2018-01-05,15.0,15.0,100.7,23.0,20.27,,0.001193,0.011044,14.2624,80.53128000000001,25.044579000000002,88.6048386903891,1.136506780988281,8.073558690389095,4.835616438356165,0.3457552588754074,23.0,2022-11-05
128012.XSHE,128012,002496,2018-01-05,8.45,8.449747,99.44,7.74,5.65,7.345,0.02489,0.049111,36.224000000000004,84.746369,17.33836,85.7156713667469,1.1601145789844143,0.9693023667468994,3.2904109589041095,0.25985675200002023,7.74,2021-04-20
128015.XSHE,128015,002279,2018-01-05,7.8,7.799683,98.488,12.9,10.6,13.78,0.014399,0.031287999999999996,19.858,84.654574,16.341026,88.6624900128348,1.1108192425651802,4.007916012834797,4.421917808219178,0.3411103619651564,12.9,2022-06-07
128023.XSHE,128023,002284,2018-01-05,10.0,10.0,97.184,10.44,9.06,,0.012091,0.022979,11.9868,82.187353,18.246904,85.91425594410086,1.1311743194660462,3.7269029441008574,4.912328767123288,0.33072994475855977,10.44,2022-12-03
128026.XSHE,128026,002772,2018-01-05,9.2,9.2,100.3,11.74,11.02,,,,6.8531,80.261028,24.967251,85.00768929822837,1.1798932641037019,4.746661298228375,4.936986301369863,0.29277504845870994,11.74,2022-12-12
110031.XSHG,110031,600271,2018-01-05,24.0,23.99482,101.4,42.8,21.89,28.456999999999997,0.010161,0.015015,98.2603,94.349715,7.472502,95.262605513167,1.064426061556596,0.9128905131669974,2.4328767123287673,0.27502889855431556,42.8,2020-06-11
113008.XSHG,113008,601727,2018-01-05,60.0,59.924980000000005,100.88,10.37,6.93,9.009,0.006084,0.013766999999999998,50.956,95.582317,5.542534,,,,2.073972602739726,,10.37,2020-02-01
113012.XSHG,113012,601311,2018-01-05,7.17,7.16971,98.41,16.72,13.36,17.368,0.007989,0.030470999999999998,23.1598,83.585006,17.736427,87.33932499522501,1.1267547580128452,3.754318995225008,4.213698630136986,0.2500382051607314,16.72,2022-03-23
113502.XSHG,113502,603822,2018-01-05,1.85,1.85,98.71,45.48,35.91,,0.015953,0.028229,25.0161,82.666928,19.406879999999997,103.91169975638057,0.9499411541859494,21.244771756380572,4.846575342465753,0.5923341899975046,45.48,2022-11-09
127003.XSHE,127003,000861,2018-01-05,11.11,11.109318,93.95,5.25,3.17,4.121,0.007581999999999999,0.014579,55.5954,91.618874,2.5443729999999998,91.85317775899792,1.0228279771278428,0.23430375899791572,3.421917808219178,0.18545705583773295,5.25,2021-06-07
128018.XSHE,128018,002527,2018-01-05,8.825057000000001,8.825057000000001,96.911,11.9,10.13,,0.010542000000000001,0.024094,13.8441,80.53128000000001,20.339574,84.53557170135025,1.146393146099136,4.004291701350241,4.835616438356165,0.27956329830648374,11.9,2022-11-05
128013.XSHE,128013,002325,2018-01-05,12.0,11.999877,93.73899999999999,10.01,4.97,6.461,0.0070799999999999995,0.012846999999999999,88.7982,88.769745,5.597915,89.19529766200489,1.0509410524668343,0.42555266200489383,3.5616438356164384,0.28337535679730513,10.01,2021-07-28
127004.XSHE,127004,000700,2018-01-12,8.1366,8.136599,94.617,8.0,5.72,7.436,-0.001604,-0.011193,32.3314,87.40634399999999,8.249578999999999,88.935814516219,1.0638796137943387,1.5294705162190005,4.3863013698630136,0.2791228008601232,8.0,2022-06-01
