trade_date,total_value,mkt_value,cash
2018-01-26,1000000.0,797779.2,202220.80000000005
2018-02-23,992710.25904,791961.74,200748.51904000004
2018-03-30,995984.2740000002,797360.7600000001,198623.51400000008
2018-04-27,1011490.3519199998,794424.1199999999,217066.23192
2018-05-25,1013684.9112160001,796170.3500000001,217514.561216
2018-06-29,1002216.718496,797258.2000000001,204958.51849599998
2018-07-27,993028.9120959998,794240.9599999998,198787.95209599994
2018-08-31,992021.0271839998,795167.83,196853.19718399982
2018-09-28,988130.8030239998,798940.7999999999,189190.00302399986
2018-10-26,995289.4206239998,792464.08,202825.3406239998
2018-11-30,1007698.6486239999,793632.2700000001,214066.37862399977
2018-12-28,1007984.0456079998,795346.7200000001,212637.3256079997
2019-01-25,1026947.3478479997,799658.1,227289.24784799968
2019-02-22,1035239.3954159996,795535.2999999999,239704.09541599968
2019-03-29,1050172.5270479997,799118.3200000001,251054.20704799966
2019-04-30,1052837.3255279998,795928.9500000002,256908.37552799963
2019-05-31,1040065.8876479996,794053.5299999999,246012.35764799966
2019-06-28,1052196.6035439996,799886.22,252310.3835439996
2019-07-26,1056306.4018639994,796364.4599999998,259941.9418639996
2019-08-30,1043419.1786079996,791334.44,252084.73860799958
2019-09-30,1050359.4145119996,790779.2,259580.21451199957
2019-10-25,1051934.6145119995,792354.3999999999,259580.21451199957
2019-11-29,1058085.7197919996,795813.28,262272.4397919995
2019-12-27,1053708.8597919994,791436.4199999999,262272.4397919995
2020-01-23,1063892.1340799995,792392.1199999999,271500.0140799996
2020-02-28,1065454.5011199992,793071.3999999997,272383.10111999954
2020-03-27,1056349.5439039995,789498.65,266850.8939039995
