trade_date,sec_id,shares,price,value
2018-01-26,110031.XSHG,80,94.52,75616.0
2018-01-26,113012.XSHG,80,93.6,74880.0
2018-01-26,113016.XSHG,80,102.38,81904.0
2018-01-26,127003.XSHE,80,96.5,77200.0
2018-01-26,127004.XSHE,80,107.597,86077.6
2018-01-26,128013.XSHE,80,100.71,80568.0
2018-01-26,128014.XSHE,80,97.609,78087.2
2018-01-26,128015.XSHE,80,99.26,79408.0
2018-01-26,128023.XSHE,80,103.048,82438.4
2018-01-26,128025.XSHE,80,102.0,81600.0
2018-02-23,110031.XSHG,82,93.18,76407.6
2018-02-23,113012.XSHG,82,93.023,76278.86
2018-02-23,113016.XSHG,82,94.419,77423.58
2018-02-23,127003.XSHE,82,101.78,83459.6
2018-02-23,127004.XSHE,82,103.092,84535.44
2018-02-23,128012.XSHE,82,96.65,79253.0
2018-02-23,128013.XSHE,82,94.04,77112.8
2018-02-23,128014.XSHE,82,97.81,80204.2
2018-02-23,128018.XSHE,82,94.934,77845.88
2018-02-23,128023.XSHE,82,96.879,79440.78
2018-03-30,110031.XSHG,81,92.92,75265.20000000001
2018-03-30,113009.XSHG,81,92.234,74709.54
2018-03-30,113019.XSHG,81,94.743,76741.83
2018-03-30,127003.XSHE,81,103.93,84183.3
2018-03-30,127004.XSHE,81,104.62,84742.20000000001
2018-03-30,128012.XSHE,81,104.0,84240.0
2018-03-30,128013.XSHE,81,94.499,76544.19
2018-03-30,128014.XSHE,81,95.15,77071.5
2018-03-30,128023.XSHE,81,93.47,75710.7
2018-03-30,128034.XSHE,81,108.83,88152.29999999999
2018-04-27,110031.XSHG,84,91.866,77167.44
2018-04-27,113016.XSHG,84,85.38,71719.2
2018-04-27,127003.XSHE,84,91.852,77155.68000000001
2018-04-27,127004.XSHE,84,93.43,78481.20000000001
2018-04-27,128012.XSHE,84,102.82,86368.79999999999
2018-04-27,128013.XSHE,84,93.088,78193.92
2018-04-27,128014.XSHE,84,105.17,88342.8
2018-04-27,128018.XSHE,84,96.27,80866.79999999999
2018-04-27,128023.XSHE,84,92.267,77504.28
2018-04-27,128026.XSHE,84,93.6,78624.0
2018-05-25,110031.XSHG,85,94.84,80614.0
2018-05-25,113008.XSHG,85,90.5,76925.0
2018-05-25,113016.XSHG,85,84.48,71808.0
2018-05-25,113502.XSHG,85,90.299,76754.15000000001
2018-05-25,127003.XSHE,85,91.28,77588.0
2018-05-25,127004.XSHE,85,100.85,85722.5
2018-05-25,128012.XSHE,85,103.32,87821.99999999999
2018-05-25,128013.XSHE,85,91.0,77350.0
2018-05-25,128018.XSHE,85,92.632,78737.2
2018-05-25,128023.XSHE,85,97.47,82849.5
2018-06-29,113016.XSHG,92,83.955,77238.59999999999
2018-06-29,113502.XSHG,92,88.37,81300.40000000001
2018-06-29,127003.XSHE,92,80.0,73600.0
2018-06-29,127004.XSHE,92,86.81200000000003,79867.04000000002
2018-06-29,128012.XSHE,92,86.934,79979.28
2018-06-29,128013.XSHE,92,87.189,80213.87999999999
2018-06-29,128018.XSHE,92,86.71799999999998,79780.55999999998
2018-06-29,128023.XSHE,92,91.4,84088.00000000001
2018-06-29,128026.XSHE,92,86.921,79967.32
2018-06-29,128037.XSHE,92,88.286,81223.12
2018-07-27,110031.XSHG,86,91.62,78793.20000000001
2018-07-27,113016.XSHG,86,81.081,69729.66
2018-07-27,113502.XSHG,86,88.7,76282.0
2018-07-27,127003.XSHE,86,88.815,76380.9
2018-07-27,127004.XSHE,86,93.001,79980.86
2018-07-27,128010.XSHE,86,105.18,90454.80000000002
2018-07-27,128012.XSHE,86,91.151,78389.86
2018-07-27,128013.XSHE,86,93.73,80607.8
2018-07-27,128018.XSHE,86,100.138,86118.68000000001
2018-07-27,128023.XSHE,86,90.12,77503.20000000001
2018-08-31,113502.XSHG,89,94.001,83660.89
2018-08-31,123011.XSHE,89,88.42,78693.8
2018-08-31,127003.XSHE,89,88.48,78747.2
2018-08-31,127004.XSHE,89,86.027,76564.03
2018-08-31,127007.XSHE,89,85.881,76434.09
2018-08-31,128010.XSHE,89,98.023,87240.47
