,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113535.XSHG,123028.XSHE,123029.XSHE,123033.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,20200103
1,113016.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,123028.XSHE,123033.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128063.XSHE,128069.XSHE,20200110
2,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113553.XSHG,123011.XSHE,123028.XSHE,123033.XSHE,127003.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,20200117
3,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113553.XSHG,123028.XSHE,123033.XSHE,127003.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128093.XSHE,20200123
4,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113541.XSHG,113553.XSHG,123011.XSHE,123033.XSHE,127003.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128093.XSHE,20200207
5,113502.XSHG,113505.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113553.XSHG,123011.XSHE,123028.XSHE,123033.XSHE,127003.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128063.XSHE,128093.XSHE,20200214
6,110045.XSHG,113016.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113553.XSHG,123011.XSHE,123033.XSHE,127003.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128069.XSHE,20200221
7,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113537.XSHG,113553.XSHG,123011.XSHE,123033.XSHE,127003.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,20200228
8,110045.XSHG,113016.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,123011.XSHE,123033.XSHE,127003.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,20200306
9,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113537.XSHG,113553.XSHG,123011.XSHE,123028.XSHE,123033.XSHE,127003.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,20200313
10,110045.XSHG,113016.XSHG,113021.XSHG,113519.XSHG,113524.XSHG,113527.XSHG,113530.XSHG,113537.XSHG,113553.XSHG,113562.XSHG,123011.XSHE,123028.XSHE,123033.XSHE,127003.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128062.XSHE,128063.XSHE,20200320
11,110045.XSHG,110059.XSHG,113016.XSHG,113021.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,113553.XSHG,123011.XSHE,123033.XSHE,127003.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128035.XSHE,128062.XSHE,128063.XSHE,20200327
12,110045.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113537.XSHG,113553.XSHG,123011.XSHE,123028.XSHE,123033.XSHE,127003.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128042.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,20200403
13,110045.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113553.XSHG,113568.XSHG,123011.XSHE,123028.XSHE,123033.XSHE,127003.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128050.XSHE,128063.XSHE,128093.XSHE,20200410
14,110045.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113553.XSHG,113568.XSHG,123011.XSHE,123028.XSHE,123033.XSHE,127003.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,20200417
15,110045.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113537.XSHG,113553.XSHG,113564.XSHG,123011.XSHE,123028.XSHE,123033.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,20200424
