trade_date,total_value,mkt_value,cash
2021-01-08,1000000.0,798741.06,201258.9399999999
2021-01-15,987038.4416499998,787918.5599999999,199119.8816499999
2021-01-22,994768.309705,790778.8200000001,203989.48970499993
2021-01-29,993065.2107699999,787759.24,205305.9707699999
2021-02-05,987265.2953300001,787456.4200000002,199808.87532999992
2021-02-10,989597.5533799999,794824.8,194772.75337999995
2021-02-19,984675.84528,791495.6000000001,193180.24527999997
2021-02-26,964559.96368,782863.6000000001,181696.36368
2021-03-05,962284.14568,781338.48,180945.66568
2021-03-12,961805.4511,786170.97,175634.4811
2021-03-19,964536.5881999999,779832.5799999998,184704.00819999998
2021-03-26,975511.8665999998,793637.9099999999,181873.95659999998
2021-04-02,970667.3414799998,796885.9999999999,173781.34147999997
2021-04-09,974238.58948,780736.98,193501.60947999998
2021-04-16,989776.22292,791756.55,198019.6729199999
2021-04-23,965975.0535299998,779810.5399999999,186164.51352999988
2021-04-30,991712.62453,781238.2000000001,210474.42452999993
2021-05-07,997381.74193,786668.78,210712.96192999996
2021-05-14,1008625.4194299998,798759.9999999998,209865.41942999995
2021-05-21,1005402.47356,797908.42,207494.05355999994
2021-05-28,998521.1726599999,781502.8999999999,217018.27265999996
2021-06-04,995202.371635,786832.75,208369.62163500002
2021-06-11,980841.5100199998,781108.4799999999,199733.03001999998
2021-06-18,1006193.204685,799406.0,206787.20468499995
