trade_date,total_value,mkt_value,cash
2021-01-08,1000000.0,790735.92,209264.08
2021-01-15,994859.4164,795674.4,199185.01639999996
2021-01-22,1010332.5203999999,791434.4,218898.12039999987
2021-01-29,997683.5403999998,795090.8499999999,202592.6903999999
2021-02-05,993902.75715,794217.6000000001,199685.15714999993
2021-02-10,988105.6271500001,791894.0100000001,196211.61714999992
2021-02-19,998340.1271999998,797986.8999999999,200353.2271999999
2021-02-26,1019308.2538000001,799760.7500000002,219547.5037999999
2021-03-05,1029528.7068,792280.0000000001,237248.70679999993
2021-03-12,1030528.1875999998,794327.6199999999,236200.5675999999
2021-03-19,1048960.61035,792238.2,256722.41034999996
2021-03-26,1064814.23215,797591.9000000001,267222.3321499999
2021-04-02,1058271.3929,798917.5200000001,259353.87289999993
2021-04-09,1048834.62936,793154.7,255679.9293599999
2021-04-16,1067809.0731600001,794329.3800000002,273479.6931599999
2021-04-23,1061862.61136,793200.1000000001,268662.5113599999
2021-04-30,1047932.5949599999,791239.8,256692.79495999982
2021-05-07,1063724.0693599998,796855.8,266868.26935999986
2021-05-14,1056490.8248599998,792328.5,264162.3248599999
2021-05-21,1048529.4016099998,790242.0,258287.40160999988
2021-05-28,1062999.091235,799058.68,263940.4112349999
2021-06-04,1068575.8892949997,794757.7799999998,273818.1092949999
2021-06-11,1063569.5141949998,794231.9999999999,269337.51419499994
2021-06-18,1065268.4204449998,793997.8399999999,271270.58044499997
