trade_date,total_value,mkt_value,cash
2021-01-08,1000000.0,795349.5,204650.5
2021-01-15,1014296.683375,799345.5,214951.18337500002
2021-01-22,1012801.2302499999,798136.4999999999,214664.73025000002
2021-01-29,999055.96275,792743.8399999999,206312.12275000004
2021-02-05,987255.7153500001,792276.3900000001,194979.3253499999
2021-02-10,983390.3918499999,792278.36,191112.0318499999
2021-02-19,997503.9612499999,792487.5,205016.46124999993
2021-02-26,1004541.2245000001,791778.68,212762.54450000008
2021-03-05,1002604.89115,790049.1599999999,212555.73115000007
2021-03-12,1000732.3021500001,792951.75,207780.55215000012
2021-03-19,993785.7421500001,789850.8399999999,203934.90215000018
2021-03-26,1010962.8959500002,798978.0,211984.89595000015
2021-04-02,995397.7856000002,797229.0,198168.78560000018
2021-04-09,991838.3367250001,793967.46,197870.8767250001
2021-04-16,990303.5591249999,798377.2499999998,191926.3091250001
2021-04-23,979889.6976250001,791277.66,188612.03762500008
2021-04-30,988277.432825,789872.3999999999,198405.03282500012
2021-05-07,991267.7476250002,794226.13,197041.6176250002
2021-05-14,996326.0442250001,796008.96,200317.08422500014
2021-05-21,993901.929465,790905.21,202996.71946500012
2021-05-28,1011363.8265650003,791961.9900000002,219401.83656500012
2021-06-04,1020725.1186650001,799967.37,220757.7486650001
2021-06-11,1026439.3940700002,792655.6000000001,233783.79407000012
2021-06-18,1029220.3784700001,792267.7,236952.6784700001
