trade_date,sec_id,shares,price,value
2021-01-08,110043.XSHG,78,99.12,77313.6
2021-01-08,110070.XSHG,78,104.603,81590.34
2021-01-08,113024.XSHG,78,102.55,79989.0
2021-01-08,123028.XSHE,78,119.805,93447.90000000001
2021-01-08,123049.XSHE,78,107.005,83463.9
2021-01-08,127012.XSHE,78,108.9,84942.0
2021-01-08,128014.XSHE,78,67.079,52321.619999999995
2021-01-08,128035.XSHE,78,103.0,80340.0
2021-01-08,128062.XSHE,78,96.35,75153.0
2021-01-08,128063.XSHE,78,114.96,89668.79999999999
2021-01-15,110070.XSHG,78,96.28,75098.4
2021-01-15,113024.XSHG,78,106.66,83194.79999999999
2021-01-15,123028.XSHE,78,102.0,79560.0
2021-01-15,123049.XSHE,78,116.0,90480.0
2021-01-15,127012.XSHE,78,99.33,77477.4
2021-01-15,128014.XSHE,78,109.0,85020.0
2021-01-15,128039.XSHE,78,80.22,62571.6
2021-01-15,128062.XSHE,78,105.14,82009.2
2021-01-15,128063.XSHE,78,95.807,74729.45999999999
2021-01-15,128096.XSHE,78,104.511,81518.57999999999
2021-01-22,110070.XSHG,78,96.34,75145.20000000001
2021-01-22,113024.XSHG,78,105.4,82212.0
2021-01-22,123028.XSHE,78,101.972,79538.16
2021-01-22,123049.XSHE,78,115.5,90090.0
2021-01-22,127012.XSHE,78,99.697,77763.66
2021-01-22,127017.XSHE,78,108.598,84706.44
2021-01-22,128014.XSHE,78,70.007,54605.46000000001
2021-01-22,128062.XSHE,78,119.19,92968.2
2021-01-22,128063.XSHE,78,104.09,81190.20000000001
2021-01-22,128096.XSHE,78,95.3,74334.0
2021-01-29,110070.XSHG,80,93.78,75024.0
2021-01-29,113024.XSHG,80,103.398,82718.4
2021-01-29,123049.XSHE,80,100.15,80120.0
2021-01-29,127012.XSHE,80,111.0,88800.0
2021-01-29,127017.XSHE,80,113.001,90400.8
2021-01-29,128014.XSHE,80,94.6,75680.0
2021-01-29,128035.XSHE,80,103.0,82400.0
2021-01-29,128062.XSHE,80,67.882,54305.600000000006
2021-01-29,128063.XSHE,80,109.01,87208.00000000001
2021-01-29,128096.XSHE,80,103.0,82400.0
2021-02-05,110070.XSHG,85,91.43,77715.5
2021-02-05,113024.XSHG,85,101.189,86010.65
2021-02-05,123028.XSHE,85,98.72,83912.0
2021-02-05,123049.XSHE,85,92.65,78752.50000000001
2021-02-05,127012.XSHE,85,95.334,81033.90000000001
2021-02-05,127017.XSHE,85,67.796,57626.600000000006
2021-02-05,128014.XSHE,85,106.009,90107.65
2021-02-05,128039.XSHE,85,100.2,85170.0
2021-02-05,128062.XSHE,85,81.2,69020.0
2021-02-05,128063.XSHE,85,97.715,83057.75
2021-02-10,110034.XSHG,83,94.31,78277.3
2021-02-10,110070.XSHG,83,103.0,85490.0
2021-02-10,113024.XSHG,83,99.81,82842.29999999999
2021-02-10,123028.XSHE,83,95.725,79451.75
2021-02-10,123049.XSHE,83,100.1,83083.0
2021-02-10,127012.XSHE,83,67.533,56052.39000000001
2021-02-10,128014.XSHE,83,100.76,83630.8
2021-02-10,128039.XSHE,83,85.99,71371.7
2021-02-10,128062.XSHE,83,100.777,83644.91
2021-02-10,128063.XSHE,83,109.76,91100.8
2021-02-19,110034.XSHG,81,97.76,79185.6
2021-02-19,110070.XSHG,81,103.1,83511.0
2021-02-19,113024.XSHG,81,100.777,81629.37
2021-02-19,123028.XSHE,81,98.0,79380.0
2021-02-19,123049.XSHE,81,103.78,84061.8
2021-02-19,127012.XSHE,81,69.4,56214.00000000001
2021-02-19,128014.XSHE,81,103.07,83486.7
2021-02-19,128039.XSHE,81,90.027,72921.87
2021-02-19,128062.XSHE,81,104.5,84645.0
2021-02-19,128063.XSHE,81,111.38,90217.79999999999
2021-02-26,110034.XSHG,81,96.79,78399.90000000001
2021-02-26,110070.XSHG,81,103.41,83762.09999999999
2021-02-26,113024.XSHG,81,101.0,81810.0
2021-02-26,123028.XSHE,81,97.233,78758.73000000001
2021-02-26,123049.XSHE,81,104.749,84846.69
2021-02-26,127012.XSHE,81,69.438,56244.78
2021-02-26,128014.XSHE,81,101.65,82336.5
2021-02-26,128039.XSHE,81,89.249,72291.69
2021-02-26,128062.XSHE,81,103.75,84037.5
2021-02-26,128063.XSHE,81,108.8,88128.0
2021-03-05,110070.XSHG,79,99.77,78818.3
2021-03-05,113024.XSHG,79,104.14,82270.59999999999
2021-03-05,123028.XSHE,79,102.15,80698.5
2021-03-05,123049.XSHE,79,115.459,91212.61
2021-03-05,127012.XSHE,79,99.12,78304.8
2021-03-05,127017.XSHE,79,108.49,85707.09999999999
2021-03-05,128014.XSHE,79,70.86,55979.399999999994
2021-03-05,128035.XSHE,79,115.801,91482.79000000001
2021-03-05,128062.XSHE,79,102.01,80587.9
2021-03-05,128063.XSHE,79,93.32,73722.8
2021-03-12,110034.XSHG,79,108.79,85944.1
2021-03-12,110070.XSHG,79,105.42,83281.8
2021-03-12,113024.XSHG,79,102.2,80738.0
2021-03-12,123028.XSHE,79,113.15,89388.5
2021-03-12,127012.XSHE,79,99.95,78960.5
2021-03-12,128014.XSHE,79,70.451,55656.29
2021-03-12,128035.XSHE,79,104.03,82183.70000000001
2021-03-12,128039.XSHE,79,92.85,73351.5
2021-03-12,128062.XSHE,79,105.678,83485.62
2021-03-12,128063.XSHE,79,109.4,86426.0
2021-03-19,110070.XSHG,78,107.04,83491.20000000001
2021-03-19,113024.XSHG,78,107.099,83537.22
2021-03-19,123028.XSHE,78,103.79,80956.20000000001
2021-03-19,127012.XSHE,78,111.0,86580.0
2021-03-19,127017.XSHE,78,102.278,79776.84
2021-03-19,128014.XSHE,78,72.166,56289.479999999996
2021-03-19,128035.XSHE,78,115.301,89934.78000000001
2021-03-19,128039.XSHE,78,103.67,80862.6
2021-03-19,128062.XSHE,78,96.4,75192.0
2021-03-19,128063.XSHE,78,105.8,82524.0
2021-03-26,110070.XSHG,78,103.65,80847.0
2021-03-26,113024.XSHG,78,105.7,82446.0
2021-03-26,123028.XSHE,78,102.5,79950.0
2021-03-26,127012.XSHE,78,111.0,86580.0
2021-03-26,127017.XSHE,78,101.771,79381.38
2021-03-26,128014.XSHE,78,72.136,56266.079999999994
2021-03-26,128035.XSHE,78,115.1,89778.0
2021-03-26,128039.XSHE,78,103.72,80901.6
