trade_date,sec_id,shares,price,value
2021-01-08,110033.XSHG,78,104.95,81861.0
2021-01-08,110034.XSHG,78,94.099,73397.22
2021-01-08,110070.XSHG,78,111.51,86977.8
2021-01-08,113505.XSHG,78,99.12,77313.6
2021-01-08,113534.XSHG,78,108.18,84380.40000000001
2021-01-08,113578.XSHG,78,104.46,81478.79999999999
2021-01-08,123028.XSHE,78,98.29,76666.20000000001
2021-01-08,127003.XSHE,78,96.35,75153.0
2021-01-08,128066.XSHE,78,99.96,77968.79999999999
2021-01-08,128100.XSHE,78,96.845,75539.1
2021-01-15,110033.XSHG,80,101.61,81288.0
2021-01-15,110070.XSHG,80,90.46,72368.0
2021-01-15,113033.XSHG,80,97.77,78216.0
2021-01-15,113505.XSHG,80,95.8,76640.0
2021-01-15,113534.XSHG,80,96.28,77024.0
2021-01-15,113578.XSHG,80,99.33,79464.0
2021-01-15,127003.XSHE,80,102.3,81840.0
2021-01-15,128063.XSHE,80,108.44,86752.0
2021-01-15,128100.XSHE,80,100.703,80562.4
2021-01-15,128105.XSHE,80,101.9,81520.0
2021-01-22,110034.XSHG,80,91.413,73130.4
2021-01-22,110070.XSHG,80,97.52,78016.0
2021-01-22,113033.XSHG,80,103.1,82480.0
2021-01-22,113505.XSHG,80,94.65,75720.0
2021-01-22,113534.XSHG,80,96.34,77072.0
2021-01-22,113578.XSHG,80,101.9,81520.0
2021-01-22,123023.XSHE,80,95.333,76266.4
2021-01-22,128063.XSHE,80,115.74,92591.99999999999
2021-01-22,128066.XSHE,80,99.697,79757.6
2021-01-22,128100.XSHE,80,93.6,74880.0
2021-01-29,110070.XSHG,85,100.72,85612.0
2021-01-29,113033.XSHG,85,92.15,78327.50000000001
2021-01-29,113505.XSHG,85,86.7,73695.0
2021-01-29,113534.XSHG,85,92.8,78880.0
2021-01-29,113578.XSHG,85,90.51,76933.5
2021-01-29,123028.XSHE,85,99.79,84821.5
2021-01-29,128066.XSHE,85,93.78,79713.0
2021-01-29,128093.XSHE,85,82.0,69700.0
2021-01-29,128100.XSHE,85,99.5,84575.0
2021-01-29,128105.XSHE,85,97.451,82833.34999999999
2021-02-05,110070.XSHG,88,84.97,74773.59999999999
2021-02-05,113030.XSHG,88,89.7,78936.0
2021-02-05,113033.XSHG,88,93.99,82711.19999999998
2021-02-05,113505.XSHG,88,91.43,80458.4
2021-02-05,113534.XSHG,88,86.8,76384.0
2021-02-05,113578.XSHG,88,97.5,85800.0
2021-02-05,128066.XSHE,88,89.49,78751.2
2021-02-05,128093.XSHE,88,75.3,66264.0
2021-02-05,128100.XSHE,88,96.53,84946.4
2021-02-05,128105.XSHE,88,96.81,85192.8
2021-02-10,110070.XSHG,87,88.36,76873.2
2021-02-10,113033.XSHG,87,96.5,83955.0
2021-02-10,113505.XSHG,87,94.31,82049.7
2021-02-10,113534.XSHG,87,89.96,78265.2
2021-02-10,113568.XSHG,87,98.52,85712.4
2021-02-10,113578.XSHG,87,73.133,63625.71
2021-02-10,128066.XSHE,87,91.22,79361.40000000001
2021-02-10,128093.XSHE,87,96.71,84137.69999999998
2021-02-10,128100.XSHE,87,88.01,76568.70000000001
2021-02-10,128105.XSHE,87,93.5,81345.0
2021-02-19,110033.XSHG,83,93.25,77397.5
2021-02-19,110070.XSHG,83,98.61,81846.3
2021-02-19,113033.XSHG,83,97.76,81140.8
2021-02-19,113505.XSHG,83,80.91,67155.3
2021-02-19,113534.XSHG,83,98.93,82111.90000000001
2021-02-19,113568.XSHG,83,103.31,85747.29999999999
2021-02-19,113578.XSHG,83,91.39,75853.7
2021-02-19,128066.XSHE,83,95.62,79364.6
2021-02-19,128093.XSHE,83,93.77,77829.1
2021-02-19,128100.XSHE,83,107.88,89540.4
2021-02-26,110070.XSHG,85,92.62,78727.0
2021-02-26,113033.XSHG,85,92.666,78766.09999999999
2021-02-26,113505.XSHG,85,96.79,82271.5
2021-02-26,113534.XSHG,85,97.81,83138.5
2021-02-26,113568.XSHG,85,98.15,83427.5
2021-02-26,123023.XSHE,85,77.912,66225.20000000001
2021-02-26,128066.XSHE,85,93.02,79067.0
2021-02-26,128093.XSHE,85,103.167,87691.95
2021-02-26,128100.XSHE,85,98.0,83300.0
2021-02-26,128105.XSHE,85,90.76,77146.0
2021-03-05,110033.XSHG,80,100.1,80080.0
2021-03-05,110034.XSHG,80,80.4,64320.0
2021-03-05,110070.XSHG,80,98.89,79112.0
2021-03-05,113033.XSHG,80,107.86,86288.0
2021-03-05,113505.XSHG,80,95.43,76344.0
2021-03-05,113534.XSHG,80,99.77,79816.0
2021-03-05,113578.XSHG,80,109.21,87368.0
2021-03-05,128066.XSHE,80,104.71,83768.0
2021-03-05,128093.XSHE,80,97.88,78304.0
2021-03-05,128100.XSHE,80,96.1,76880.0
2021-03-12,110033.XSHG,79,99.8,78842.0
2021-03-12,110034.XSHG,79,109.4,86426.0
2021-03-12,110068.XSHG,79,98.4,77736.0
2021-03-12,113033.XSHG,79,103.95,82120.50000000001
2021-03-12,113505.XSHG,79,108.12,85414.79999999999
2021-03-12,113534.XSHG,79,95.914,75772.06
2021-03-12,113578.XSHG,79,99.5,78605.0
2021-03-12,123023.XSHE,79,96.6,76314.0
2021-03-12,128066.XSHE,79,98.36,77704.4
2021-03-12,128093.XSHE,79,95.434,75392.86
2021-03-19,110033.XSHG,78,101.21,78943.79999999999
2021-03-19,110034.XSHG,78,110.85,86463.0
2021-03-19,110057.XSHG,78,98.19,76588.2
2021-03-19,113033.XSHG,78,105.0,81900.0
2021-03-19,113505.XSHG,78,108.46,84598.79999999999
2021-03-19,113534.XSHG,78,98.08,76502.4
2021-03-19,128034.XSHE,78,106.205,82839.9
2021-03-19,128066.XSHE,78,83.455,65094.899999999994
2021-03-19,128093.XSHE,78,98.3,76674.0
