trade_date,sec_id,shares,price,value
2021-01-08,113012.XSHG,75,110.26,82695.0
2021-01-08,113033.XSHG,75,103.6,77700.0
2021-01-08,113534.XSHG,75,118.01,88507.5
2021-01-08,113536.XSHG,75,103.998,77998.5
2021-01-08,123049.XSHE,75,94.099,70574.25
2021-01-08,127003.XSHE,75,106.28,79710.0
2021-01-08,128039.XSHE,75,104.46,78344.99999999999
2021-01-08,128057.XSHE,75,108.9,81675.0
2021-01-08,128100.XSHE,75,105.909,79431.75
2021-01-08,128107.XSHE,75,104.95,78712.5
2021-01-15,113012.XSHG,75,109.967,82475.25
2021-01-15,113033.XSHG,75,111.21,83407.5
2021-01-15,113505.XSHG,75,101.9,76425.0
2021-01-15,113534.XSHG,75,109.6,82200.0
2021-01-15,113536.XSHG,75,101.61,76207.5
2021-01-15,123049.XSHE,75,104.511,78383.25
2021-01-15,128039.XSHE,75,105.716,79287.0
2021-01-15,128040.XSHE,75,97.77,73327.5
2021-01-15,128057.XSHE,75,109.0,81750.0
2021-01-15,128107.XSHE,75,114.51,85882.5
2021-01-22,110034.XSHG,75,107.378,80533.5
2021-01-22,113033.XSHG,75,101.9,76425.0
2021-01-22,113505.XSHG,75,114.06,85545.0
2021-01-22,113534.XSHG,75,103.1,77325.0
2021-01-22,113536.XSHG,75,111.68,83760.0
2021-01-22,123007.XSHE,75,115.74,86805.0
2021-01-22,128039.XSHE,75,104.391,78293.25
2021-01-22,128040.XSHE,75,117.0,87750.0
2021-01-22,128100.XSHE,75,97.52,73140.0
2021-01-22,128114.XSHE,75,91.413,68559.75
2021-01-29,110034.XSHG,76,104.79,79640.40000000001
2021-01-29,113033.XSHG,76,99.5,75620.0
2021-01-29,113505.XSHG,76,99.79,75840.40000000001
2021-01-29,113536.XSHG,76,100.72,76547.2
2021-01-29,123007.XSHE,76,108.34,82338.4
2021-01-29,123048.XSHE,76,108.31,82315.59999999999
2021-01-29,128039.XSHE,76,103.011,78288.35999999999
2021-01-29,128040.XSHE,76,104.079,79100.04
2021-01-29,128093.XSHE,76,114.67,87149.2
2021-01-29,128107.XSHE,76,99.874,75904.24
2021-02-05,113030.XSHG,81,103.22,83608.2
2021-02-05,113033.XSHG,81,96.53,78189.3
2021-02-05,113536.XSHG,81,97.5,78975.0
2021-02-05,123007.XSHE,81,101.5,82215.0
2021-02-05,123049.XSHE,81,97.715,79149.15
2021-02-05,128039.XSHE,81,100.91,81737.1
2021-02-05,128064.XSHE,81,95.334,77220.54000000001
2021-02-05,128093.XSHE,81,98.9,80109.0
