trade_date,buysell,sec_id,shares,price,value,cash
2021-01-08,0,113012.XSHG,75,110.26,82695.0,917305.0
2021-01-08,0,113033.XSHG,75,103.6,77700.0,839605.0
2021-01-08,0,113534.XSHG,75,118.01,88507.5,751097.5
2021-01-08,0,113536.XSHG,75,103.998,77998.5,673099.0
2021-01-08,0,123049.XSHE,75,94.099,70574.25,602524.75
2021-01-08,0,127003.XSHE,75,106.28,79710.0,522814.75
2021-01-08,0,128039.XSHE,75,104.46,78344.99999999999,444469.75
2021-01-08,0,128057.XSHE,75,108.9,81675.0,362794.75
2021-01-08,0,128100.XSHE,75,105.909,79431.75,283363.0
2021-01-08,0,128107.XSHE,75,104.95,78712.5,204650.5
2021-01-15,1,127003.XSHE,75,104.511,78383.25,282994.558375
2021-01-15,1,128100.XSHE,75,109.0,81750.0,364703.683375
2021-01-15,0,113505.XSHG,75,101.9,76425.0,288278.683375
2021-01-15,0,128040.XSHE,75,97.77,73327.5,214951.18337500002
2021-01-22,1,113012.XSHG,75,91.413,68559.75,283476.6535
2021-01-22,1,123049.XSHE,75,111.68,83760.0,367194.7735
2021-01-22,1,128057.XSHE,75,104.391,78293.25,445448.876875
2021-01-22,1,128107.XSHE,75,104.391,78293.25,523702.98025
2021-01-22,0,110034.XSHG,75,107.378,80533.5,443169.48025
2021-01-22,0,123007.XSHE,75,115.74,86805.0,356364.48025
2021-01-22,0,128100.XSHE,75,97.52,73140.0,283224.48025
2021-01-22,0,128114.XSHE,75,91.413,68559.75,214664.73025000002
2021-01-29,1,113534.XSHG,75,99.5,74625.0,289252.41775
2021-01-29,1,128100.XSHE,75,108.34,81255.0,370466.79025
2021-01-29,1,128114.XSHE,75,108.34,81255.0,451681.16275
2021-01-29,0,123048.XSHE,76,108.31,82315.59999999999,369365.56275000004
2021-01-29,0,128093.XSHE,76,114.67,87149.2,282216.36275000003
2021-01-29,0,128107.XSHE,76,99.874,75904.24,206312.12275000004
2021-02-05,1,113505.XSHG,76,100.91,76691.6,282965.37695000006
2021-02-05,1,128040.XSHE,76,100.91,76691.6,359618.63115000003
2021-02-05,1,110034.XSHG,76,100.91,76691.6,436271.88535
2021-02-05,1,123048.XSHE,76,101.5,77140.0,513373.31535
2021-02-05,0,113030.XSHG,81,103.22,83608.2,429765.11535
2021-02-05,0,123049.XSHE,81,97.715,79149.15,350615.96534999995
2021-02-05,0,128064.XSHE,81,95.334,77220.54000000001,273395.4253499999
2021-02-05,0,128105.XSHE,81,96.81,78416.1,194979.3253499999
2021-02-10,1,113030.XSHG,81,94.31,76391.1,271332.2297999999
2021-02-10,1,128105.XSHE,81,98.39,79695.9,350988.2818499999
2021-02-10,0,110070.XSHG,79,98.52,77830.8,273157.4818499999
2021-02-10,0,113565.XSHG,79,103.855,82045.45,191112.0318499999
2021-02-19,1,123007.XSHE,79,104.5,82555.0,273625.75434999994
