trade_date,buysell,sec_id,shares,price,value,cash
2021-06-04,0,110033.XSHG,72,103.99,74872.8,925127.2
2021-06-04,0,110051.XSHG,72,112.49,80992.8,844134.3999999999
2021-06-04,0,113021.XSHG,72,106.46,76651.2,767483.2
2021-06-04,0,113030.XSHG,72,114.199,82223.28,685259.9199999999
2021-06-04,0,113505.XSHG,72,102.98,74145.6,611114.32
2021-06-04,0,113530.XSHG,72,115.54,83188.80000000002,527925.5199999999
2021-06-04,0,127003.XSHE,72,121.17,87242.4,440683.1199999999
2021-06-04,0,127017.XSHE,72,105.93,76269.6,364413.5199999999
2021-06-04,0,128064.XSHE,72,110.405,79491.6,284921.9199999999
2021-06-04,0,128107.XSHE,72,116.0,83520.0,201401.91999999993
2021-06-11,1,127017.XSHE,72,105.93,76269.6,277633.3851999999
2021-06-11,0,110067.XSHG,72,104.96,75571.2,202062.1851999999
