trade_date,buysell,sec_id,shares,price,value,cash
2018-01-26,0,110031.XSHG,80,94.52,75616.0,924384.0
2018-01-26,0,113012.XSHG,80,93.6,74880.0,849504.0
2018-01-26,0,113016.XSHG,80,102.38,81904.0,767600.0
2018-01-26,0,113503.XSHG,80,96.5,77200.0,690400.0
2018-01-26,0,123001.XSHE,80,101.96,81568.0,608832.0
2018-01-26,0,127003.XSHE,80,103.77,83016.0,525816.0
2018-01-26,0,127004.XSHE,80,107.597,86077.6,439738.4
2018-01-26,0,128013.XSHE,80,97.609,78087.2,361651.2
2018-01-26,0,128014.XSHE,80,100.71,80568.0,281083.2
2018-01-26,0,128023.XSHE,80,99.26,79408.0,201675.2
2018-02-23,1,113503.XSHG,80,101.78,81424.0,283034.0608
2018-02-23,0,110030.XSHG,81,93.18,75475.8,207558.2608
2018-03-30,1,113012.XSHG,81,92.92,75265.20000000001,282763.24864
2018-03-30,1,113016.XSHG,81,92.92,75265.20000000001,357968.23648
2018-03-30,1,110030.XSHG,81,95.15,77071.5,434978.07928
2018-03-30,0,113019.XSHG,81,92.234,74709.54,360268.53928
2018-03-30,0,128012.XSHE,81,100.5,81405.0,278863.53928
2018-03-30,0,128034.XSHE,81,93.47,75710.7,203152.83928000001
2018-04-27,1,113019.XSHG,81,92.267,74736.26999999999,277829.320264
2018-04-27,1,128034.XSHE,81,102.82,83284.2,361046.89290399995
2018-04-27,0,113016.XSHG,84,85.38,71719.2,289327.69290399994
2018-04-27,0,128018.XSHE,84,96.27,80866.79999999999,208460.89290399995
2018-05-25,1,128023.XSHE,84,104.596,87860.64,296251.24439199996
2018-05-25,1,113016.XSHG,84,103.32,86788.79999999999,382970.61335199996
2018-05-25,0,113008.XSHG,84,90.5,76020.0,306950.61335199996
2018-05-25,0,113502.XSHG,84,90.36,75902.4,231048.21335199996
2018-06-29,1,110031.XSHG,84,91.4,76776.0,307762.79255199997
2018-06-29,1,128014.XSHE,84,87.189,73238.76,380942.96154399996
2018-06-29,1,113008.XSHG,84,86.921,73013.64,453898.190632
2018-06-29,0,113016.XSHG,92,88.37,81300.40000000001,372597.79063199996
2018-06-29,0,128023.XSHE,92,86.71799999999998,79780.55999999998,292817.23063199996
2018-06-29,0,128037.XSHE,92,91.4,84088.00000000001,208729.23063199996
2018-07-27,1,128018.XSHE,92,105.18,96765.6,305417.418152
2018-07-27,1,128037.XSHE,92,93.73,86231.6,391580.032872
2018-07-27,0,110031.XSHG,87,91.62,79709.40000000001,311870.632872
2018-07-27,0,113510.XSHG,87,88.7,77169.0,234701.632872
2018-08-31,1,128012.XSHE,87,93.4,81258.0,315894.626472
2018-08-31,1,113016.XSHG,87,88.42,76925.4,392758.48615199997
2018-08-31,1,110031.XSHG,87,86.1,74907.0,467605.56055199995
2018-08-31,1,113510.XSHG,87,86.1,74907.0,542452.634952
2018-08-31,0,123011.XSHE,89,88.48,78747.2,463705.434952
2018-08-31,0,127007.XSHE,89,85.881,76434.09,387271.34495199996
2018-08-31,0,128010.XSHE,89,92.15,82013.5,305257.84495199996
2018-08-31,0,128018.XSHE,89,86.391,76887.99,228369.85495199997
2018-09-28,1,128023.XSHE,89,93.402,83127.78,311431.13272799994
2018-09-28,1,128018.XSHE,89,83.84,74617.6,385989.0386479999
2018-09-28,0,128026.XSHE,88,94.41,83080.8,302908.23864799994
2018-09-28,0,128038.XSHE,88,85.947,75633.36,227274.87864799995
2018-10-26,1,127007.XSHE,88,84.76,74588.8,301804.00760799996
2018-10-26,1,128010.XSHE,88,84.76,74588.8,376333.13656799996
2018-10-26,1,128026.XSHE,88,84.76,74588.8,450862.26552799996
2018-10-26,0,113511.XSHG,92,85.939,79063.87999999999,371798.38552799996
2018-10-26,0,128012.XSHE,92,82.831,76204.52,295593.86552799994
2018-10-26,0,128040.XSHE,92,89.99,82790.8,212803.06552799995
2018-11-30,1,123011.XSHE,92,91.6,84271.99999999999,297007.64792799996
2018-11-30,1,128038.XSHE,92,91.6,84271.99999999999,381212.230328
2018-11-30,1,113511.XSHG,92,91.6,84271.99999999999,465416.812728
2018-11-30,1,128012.XSHE,92,91.6,84271.99999999999,549621.395128
2018-11-30,1,128040.XSHE,92,91.6,84271.99999999999,633825.9775279999
2018-11-30,0,113519.XSHG,86,89.75,77185.0,556640.9775279999
2018-11-30,0,123007.XSHE,86,88.8,76368.0,480272.9775279999
2018-11-30,0,128010.XSHE,86,99.11,85234.59999999999,395038.3775279999
2018-11-30,0,128014.XSHE,86,88.87700000000002,76434.22000000003,318604.1575279999
2018-11-30,0,128023.XSHE,86,94.5,81270.0,237334.1575279999
2018-12-28,1,123001.XSHE,86,87.805,75512.3,312786.0476879999
2018-12-28,1,113519.XSHG,86,93.021,79998.06,392720.1092399999
2018-12-28,1,123007.XSHE,86,93.021,79998.06,472654.1707919999
2018-12-28,1,128010.XSHE,86,93.021,79998.06,552588.2323439999
2018-12-28,0,123011.XSHE,89,96.3,85706.99999999999,466881.2323439999
2018-12-28,0,128012.XSHE,89,88.965,79178.85,387702.3823439999
2018-12-28,0,128040.XSHE,89,78.988,70299.31999999999,317403.0623439999
2018-12-28,0,128050.XSHE,89,87.805,78146.45000000001,239256.6123439999
2019-01-25,1,123011.XSHE,89,95.2,84728.00000000001,323916.8299439999
2019-01-25,1,128012.XSHE,89,95.2,84728.00000000001,408577.04754399986
2019-01-25,0,113521.XSHG,86,92.781,79791.66,328785.3875439998
2019-01-25,0,128026.XSHE,86,90.251,77615.86,251169.52754399984
2019-02-22,1,128014.XSHE,86,99.36,85449.59999999999,336550.7678639998
2019-02-22,1,113521.XSHG,86,92.54,79584.40000000001,416071.5003439998
2019-02-22,1,128026.XSHE,86,92.54,79584.40000000001,495592.23282399983
2019-02-22,0,113511.XSHG,82,96.78,79359.6,416232.63282399985
2019-02-22,0,123011.XSHE,82,106.4,87248.00000000001,328984.63282399985
2019-02-22,0,128010.XSHE,82,93.697,76831.54000000001,252153.09282399985
2019-03-29,1,127003.XSHE,82,115.0,94300.0,346377.6528239999
2019-03-29,1,128023.XSHE,82,111.859,91724.38,438028.65331999987
2019-03-29,1,128040.XSHE,82,111.859,91724.38,529679.6538159999
2019-03-29,1,113511.XSHG,82,115.0,94300.0,623904.2138159999
2019-03-29,0,110038.XSHG,74,110.0,81400.0,542504.2138159999
2019-03-29,0,123019.XSHE,74,99.18,73393.20000000001,469111.0138159999
2019-03-29,0,123020.XSHE,74,97.2,71928.0,397183.0138159999
2019-03-29,0,128035.XSHE,74,110.0,81400.0,315783.0138159999
2019-04-30,1,127004.XSHE,74,101.44,75065.59999999999,390788.56133599987
2019-04-30,1,128010.XSHE,74,101.63,75206.2,465934.59637599986
2019-04-30,1,110038.XSHG,74,101.63,75206.2,541080.6314159998
2019-04-30,1,123020.XSHE,74,96.65,71521.0,612544.4146159999
2019-04-30,1,128035.XSHE,74,96.65,71521.0,684008.1978159999
2019-04-30,0,113518.XSHG,79,103.15,81488.5,602519.6978159999
2019-04-30,0,113528.XSHG,79,108.65,85833.5,516686.19781599985
2019-04-30,0,113530.XSHG,79,98.73,77996.7,438689.49781599984
2019-04-30,0,113534.XSHG,79,103.6,81844.0,356845.49781599984
2019-04-30,0,128063.XSHE,79,101.44,80137.6,276707.8978159998
2019-05-31,1,123019.XSHE,79,100.582,79459.78,356104.1099919998
2019-05-31,1,113518.XSHG,79,100.582,79459.78,435500.3221679998
2019-05-31,1,113534.XSHG,79,98.1,77499.0,512937.3229679998
2019-05-31,1,128063.XSHE,79,98.1,77499.0,590374.3237679998
2019-05-31,0,110056.XSHG,81,100.188,81152.28,509222.04376799974
2019-05-31,0,113025.XSHG,81,97.19,78723.9,430498.1437679997
2019-05-31,0,127004.XSHE,81,93.817,75991.76999999999,354506.3737679997
2019-05-31,0,128062.XSHE,81,97.0,78570.0,275936.3737679997
2019-06-28,1,110056.XSHG,81,98.359,79670.79,355543.42713599966
2019-06-28,1,113025.XSHG,81,98.359,79670.79,435150.4805039996
2019-06-28,1,128062.XSHE,81,104.6,84726.0,519808.6997039996
2019-06-28,0,123017.XSHE,81,99.28,80416.8,439391.89970399963
2019-06-28,0,128063.XSHE,81,99.54,80627.40000000001,358764.4997039996
2019-06-28,0,128066.XSHE,81,98.077,79442.37,279322.1297039996
2019-07-26,1,128013.XSHE,81,97.189,78723.09,357982.2412319996
2019-07-26,1,113502.XSHG,81,97.189,78723.09,436642.3527599996
2019-07-26,1,128066.XSHE,81,97.189,78723.09,515302.46428799955
2019-07-26,0,113527.XSHG,81,100.08,81064.79999999999,434237.66428799956
2019-07-26,0,113537.XSHG,81,100.37,81299.7,352937.96428799955
2019-07-26,0,128062.XSHE,81,96.15,77881.5,275056.46428799955
2019-08-30,1,113528.XSHG,81,96.108,77847.48000000001,352841.66630399955
2019-08-30,1,123017.XSHE,81,100.67,81542.70000000001,434319.13214399957
2019-08-30,1,128063.XSHE,81,100.67,81542.70000000001,515796.5979839995
2019-08-30,0,113502.XSHG,82,99.257,81390.74,434405.85798399954
2019-08-30,0,128013.XSHE,82,98.53,80794.6,353611.25798399956
2019-08-30,0,128023.XSHE,82,93.37,76563.4,277047.85798399954
2019-09-30,1,113537.XSHG,82,95.85,78597.0,355581.98038399953
2019-09-30,0,123029.XSHE,79,115.525,91264.75,264317.23038399953
2019-10-25,1,113502.XSHG,79,104.96,82918.4,347169.2956639995
2019-10-25,1,128023.XSHE,79,109.498,86503.42000000001,433603.5129279995
2019-10-25,0,123025.XSHE,77,96.2,74074.0,359529.5129279995
2019-10-25,0,128063.XSHE,77,98.367,75742.59,283786.9229279995
2019-11-29,1,113530.XSHG,77,89.34200000000001,68793.34000000001,352525.2282559995
2019-11-29,1,123025.XSHE,77,98.151,75576.26999999999,428041.0372399995
2019-11-29,0,123033.XSHE,80,90.72,72576.0,355465.0372399995
2019-11-29,0,128023.XSHE,80,112.29,89832.0,265633.0372399995
2019-12-27,1,123011.XSHE,80,92.517,74013.59999999999,339587.4263599995
2019-12-27,1,128063.XSHE,80,92.31,73848.0,413376.3479599995
2019-12-27,0,113531.XSHG,79,99.4,78526.0,334850.3479599995
2019-12-27,0,128026.XSHE,79,94.042,74293.18000000001,260557.16795999953
2020-01-23,1,127004.XSHE,79,97.38,76930.2,337425.82379999955
2020-01-23,1,128062.XSHE,79,116.14,91750.59999999999,429103.0233199996
2020-01-23,1,123029.XSHE,79,101.16,79916.4,508955.49019999953
2020-01-23,1,113531.XSHG,79,104.472,82532.87999999999,591422.3438959995
2020-01-23,0,113502.XSHG,78,107.33,83717.4,507704.94389599946
2020-01-23,0,113528.XSHG,78,93.72,73101.6,434603.3438959995
2020-01-23,0,113553.XSHG,78,100.152,78118.56,356484.7838959995
2020-01-23,0,127003.XSHE,78,102.22,79731.6,276753.18389599945
2020-02-28,1,128050.XSHE,78,103.28,80558.4,357247.13717599947
2020-02-28,1,128023.XSHE,78,108.8,84864.0,442043.24597599945
2020-02-28,1,128026.XSHE,78,108.8,84864.0,526839.3547759994
