secID,listDate,listStatusCD
125009.XSHE,1993/2/10,DE
100001.XSHG,1998/9/2,DE
125301.XSHE,1998/9/15,DE
125302.XSHE,1999/8/17,DE
100009.XSHG,2000/3/16,DE
125898.XSHE,2000/4/17,DE
100220.XSHG,2002/5/16,DE
125002.XSHE,2002/6/28,DE
100087.XSHG,2002/8/28,DE
125729.XSHE,2002/10/31,DE
125629.XSHE,2003/2/17,DE
100016.XSHG,2003/3/18,DE
100177.XSHG,2003/4/21,DE
125930.XSHE,2003/5/20,DE
125630.XSHE,2003/6/4,DE
100726.XSHG,2003/6/18,DE
100567.XSHG,2003/7/1,DE
100236.XSHG,2003/7/15,DE
100795.XSHG,2003/8/1,DE
100117.XSHG,2003/8/26,DE
125936.XSHE,2003/9/16,DE
100096.XSHG,2003/9/25,DE
100196.XSHG,2003/11/17,DE
110001.XSHG,2003/12/11,DE
125959.XSHE,2003/12/31,DE
125069.XSHE,2004/1/16,DE
110418.XSHG,2004/4/29,DE
110037.XSHG,2004/5/28,DE
110317.XSHG,2004/6/3,DE
110874.XSHG,2004/7/19,DE
125932.XSHE,2004/8/3,DE
125937.XSHE,2004/8/26,DE
125822.XSHE,2004/9/23,DE
125488.XSHE,2004/9/30,DE
110219.XSHG,2004/11/3,DE
110010.XSHG,2004/11/25,DE
110036.XSHG,2004/11/29,DE
110423.XSHG,2006/8/10,DE
110325.XSHG,2006/8/11,DE
110398.XSHG,2006/8/30,DE
125024.XSHE,2006/9/11,DE
110488.XSHG,2006/11/10,DE
110232.XSHG,2006/12/6,DE
110021.XSHG,2006/12/19,DE
128031.XSHE,2007/1/19,DE
125717.XSHE,2007/3/2,DE
110078.XSHG,2007/5/25,DE
125960.XSHE,2007/5/29,DE
110026.XSHG,2007/7/12,DE
110567.XSHG,2007/9/17,DE
110971.XSHG,2007/10/12,DE
110227.XSHG,2007/10/23,DE
110598.XSHG,2007/12/28,DE
125709.XSHE,2007/12/28,DE
125572.XSHE,2008/1/30,DE
110368.XSHG,2008/3/14,DE
125528.XSHE,2008/5/6,DE
110002.XSHG,2008/5/13,DE
110003.XSHG,2008/9/5,DE
110004.XSHG,2009/9/11,DE
110005.XSHG,2009/9/21,DE
110006.XSHG,2009/9/25,DE
125969.XSHE,2009/10/12,DE
110007.XSHG,2009/10/16,DE
110008.XSHG,2009/10/30,DE
110009.XSHG,2010/5/14,DE
113001.XSHG,2010/6/18,DE
125731.XSHE,2010/6/25,DE
126630.XSHE,2010/8/6,DE
113002.XSHG,2010/9/10,DE
128233.XSHE,2010/9/16,DE
126729.XSHE,2010/11/3,DE
110011.XSHG,2010/12/10,DE
110012.XSHG,2011/1/20,DE
110013.XSHG,2011/2/15,DE
125887.XSHE,2011/3/1,DE
110015.XSHG,2011/3/7,DE
110016.XSHG,2011/3/31,DE
125089.XSHE,2011/8/10,DE
110017.XSHG,2011/8/12,DE
110018.XSHG,2011/9/2,DE
110019.XSHG,2012/4/12,DE
113003.XSHG,2012/6/18,DE
110020.XSHG,2012/10/31,DE
110022.XSHG,2012/12/18,DE
127001.XSHE,2013/1/7,DE
128001.XSHE,2013/1/28,DE
110023.XSHG,2013/3/29,DE
128002.XSHE,2013/8/19,DE
128003.XSHE,2013/8/28,DE
110024.XSHG,2013/9/30,DE
127002.XSHE,2013/11/15,DE
113005.XSHG,2013/12/9,DE
113006.XSHG,2013/12/27,DE
128004.XSHE,2014/3/14,DE
128005.XSHE,2014/5/13,DE
110025.XSHG,2014/6/3,DE
128006.XSHE,2014/7/9,DE
110027.XSHG,2014/7/25,DE
110028.XSHG,2014/8/1,DE
128007.XSHE,2014/9/5,DE
113007.XSHG,2014/9/25,DE
128008.XSHE,2014/10/10,DE
110029.XSHG,2014/10/28,DE
113501.XSHG,2014/12/16,DE
128009.XSHE,2014/12/26,DE
110030.XSHG,2015/1/13,DE
113008.XSHG,2015/2/16,L
110031.XSHG,2015/6/30,L
123001.XSHE,2016/1/8,DE
110032.XSHG,2016/1/18,DE
110033.XSHG,2016/1/19,L
110034.XSHG,2016/1/29,L
113009.XSHG,2016/2/4,L
128010.XSHE,2016/2/23,L
110035.XSHG,2016/3/15,DE
128011.XSHE,2016/3/24,DE
113010.XSHG,2016/4/5,DE
128012.XSHE,2016/5/17,L
127003.XSHE,2016/7/1,L
128013.XSHE,2016/8/23,L
113011.XSHG,2017/4/5,L
113012.XSHG,2017/4/13,L
128014.XSHE,2017/5/12,L
127004.XSHE,2017/6/26,L
128015.XSHE,2017/6/27,L
113013.XSHG,2017/7/24,L
128016.XSHE,2017/10/20,DE
113014.XSHG,2017/11/13,L
113015.XSHG,2017/11/20,DE
113016.XSHG,2017/11/21,L
128017.XSHE,2017/11/27,L
113502.XSHG,2017/11/27,L
110038.XSHG,2017/11/29,L
128018.XSHE,2017/12/4,L
110039.XSHG,2017/12/5,DE
110040.XSHG,2017/12/11,DE
128020.XSHE,2017/12/12,DE
123002.XSHE,2017/12/25,L
128023.XSHE,2017/12/26,L
128021.XSHE,2017/12/27,L
128022.XSHE,2017/12/28,L
